Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM340612,0.0012894849651438,0.00887506252096607,0,0,0,0.178947553535579,0.081892299446998,0,0.0519045089263618,0,0.0220338037470083,0,0.138091682635707,0.0338706727129591,0.00543879996353849,0.0859316673443383,0.103196347512755,0.0225733505032047,0.26595476618544,0,0,0,0.33,0.05077083621563,1.05146705347077
GSM340613,0,0.139124149648102,0,0,0.0152242635675767,0.00990107230580613,0.192317741285395,0,0.208770554346715,0,0.117501658709424,0,0,0.102762371984782,0,0,0,0.186082258682155,0.022527098975705,0,0.00538735970896819,0.000401470785370584,0.55,0.0255515170437478,1.08632472650923
GSM340614,0.0310448843560485,0,0.0449366865948417,0,0.037285507195121,0.307538547693141,0,0.036507580086171,0.220752107195627,0,0.0425029987752339,0,0.03097392646301,0,0.0127906508890165,0.0882432635599809,0,0.0815388328661543,0,0.0500881641137773,0.0157968502118774,0,0.57,0.023418773487678,1.09684880290182
GSM340618,0.0440842601717885,0,0.0119612355913421,0,0,0,0,0.0973725778687595,0.117355026777573,0,0,0.102427201867321,0.0606429388671635,0.177828931875134,0,0,0,0.333463171976057,0.0524613365333831,0,0.0024033184714772,0,0.3,0.0600378347924606,1.0947071355242
GSM340620,0,0.0690647930445927,0.0695948274247108,0,0.17391067774115,0,0.202255488925084,0,0.0560952707619146,0,0.0782098604264272,0.00325378981033135,0.0291726730399506,0.0110800161613333,0,0.115414953528553,0,0.158557461613744,0.0333901875222084,0,0,0,0.64,0.0130806014762602,1.07087711264583
GSM340623,0.0199552474352804,0,0,0,0.153868863567432,0,0.0766238145658224,0,0.173421244438483,0.0404069167907335,0.0532381435723604,0,0.0119533911553908,0.237107134694429,0.0551673631301566,0.0947158003683803,0,0.0664766769262731,0.00966452370920704,0,0,0.00740087964605035,0.15,0.105811814205486,1.05898458107477
GSM340628,0,0,0.0131063550175359,0.0979580852617107,0,0.157688575819534,0.071299425127344,0.0509002767091487,0.0842844024981004,0,0.101438774541884,0.00224439027051568,0.0243246947359256,0.116083369014861,0.0312437973284439,0,0.00612662284064758,0.192718389837138,0,0.0505828409972104,0,0,0.15,0.10267843986441,1.06562128512376
GSM340630,0,0.0912470429600059,0.00786984009667357,0,0,0.250058333050458,0.285792697537102,0,0.0655208333354192,0,0.0846142666179685,0,0,0,0,0.00803560021230504,0,0.120996598804099,0.0369922061667042,0,0,0.0488725812192643,0.61,0.0174751419674329,1.09162428827613
GSM340633,0,0.0806544784508563,0,0,0.214122471441247,0,0.135622851590269,0,0.0912490323212587,0.130830972429977,0.0571275200779034,0,0,0,0,0.179428340152478,0,0.100307765193255,0.00250760945379701,0,0,0.0081489588889591,0.71,-9.75968982508982e-05,1.09946586433731
GSM340634,0,0.0231199002497988,0.027713936384646,0,0,0.312305562275107,0.0245436928259223,0.0212854467826986,0.0473473238398728,0.0507286033443266,0.00977822251863793,0,0,0.0786616700609782,0.0616312648377859,0.0274152407760093,0.0726818760823996,0.0858025163722758,0.156984743649542,0,0,0,0.63,0.0158226343255389,1.07616653403492
