"Gene"
"UNC5B"
NA
"KRTAP5-2"
"CRTAC1"
"ST3GAL5"
"CDC25B"
"CALU"
"MTHFD2"
"ATOH8"
"MT2A"
"C17orf79"
"C10orf58"
"FAM53B"
"PLEKHA7"
"ZNF563"
"SLC2A3"
"NTF5"
"DNM1"
"MMD"
"C19orf39"
"TUBB6"
"ALDH4A1"
"CNN3"
"LOC647760"
"COL5A2"
"CTHRC1"
"DEGS1"
"ASGR1"
"PLEKHO1"
"BCAS1"
"ID3"
"MGC35402"
"TXNRD1"
"TESC"
"ZNF429"
"PHF19"
"GATA2"
"LOC162993"
"CTSE"
"C8orf15"
"KCNH4"
"FHIT"
"HOXB3"
"LOC651101"
"C3orf54"
"GPRC5C"
"C9orf19"
"CCDC125"
"SLITRK6"
"CARD11"
"HIGD2A"
"LOC388559"
"SMAD6"
"IMPA2"
"MYO5A"
"SLC9A1"
"LOC645287"
"C16orf74"
"ACTN1"
"C8orf16"
"MSH3"
"DDAH2"
"ADAM19"
"RBP1"
"YWHAH"
"FAM83D"
"ZNF552"
"SYTL1"
"SORL1"
"DSCR1"
"HOXD1"
"PCNXL2"
"ARL6IP2"
"LNX1"
"SNCAIP"
"TMC7"
"GLT25D1"
"TYSND1"
"TMEM63A"
"CD83"
"CDKN2D"
"FLJ20444"
"TMC4"
"PLEKHG2"
"PIK3R2"
"CLCF1"
"TEAD2"
"NFIL3"
"PLEKHH1"
"SERPINE2"
"SNAI3"
"NRG4"
"LOC652668"
"EHD1"
"DUSP14"
"LOC400451"
"GALNAC4S-6ST"
"HISPPD2A"
"SLFN11"
"CTSL1"
"SLC43A3"
"CTPS"
"LOC644844"
"TUBA1B"
"ELOVL4"
"COL1A1"
"D4S234E"
"C3orf21"
"CTGF"
"ADAM28"
"HHAT"
"LOC651957"
"CYR61"
"SLC25A25"
"SH3KBP1"
"DCC1"
"PSMC1"
"SPOCD1"
"MT1A"
"FAP"
"MGC16703"
"SSH3"
"TPM3"
"ABAT"
"PLA2G10"
"ATF3"
"TIMP2"
"SNFT"
"PLEKHH3"
"CCDC109B"
"OLFML2B"
"AEBP1"
"C15orf48"
"ANXA10"
"FAM20C"
"PLCD3"
"IFT140"
"NSUN4"
"HSPC047"
"PLEKHA4"
"C10orf65"
"PPIL3"
"TMEM158"
"NEDD4L"
"RAI1"
"BTBD16"
"WDR62"
"TNFRSF1B"
"PDCD7"
"CDC42EP5"
"CXCR4"
"SLC7A6"
"LY96"
"RCN3"
"ADA"
"GFPT2"
"ZNF564"
"C5orf34"
"CIT"
"IER3"
"PGPEP1"
"C1orf126"
"ACOT7"
"LOH11CR2A"
"HOXB4"
"PGM2L1"
"NT5DC3"
"SGCE"
"CALD1"
"GEMIN8"
"LOC642299"
"TMPRSS4"
"APOL1"
"STK3"
"LOC646990"
"GDPD5"
"C11orf75"
"ATP8B1"
"LDLR"
"CNTN3"
"PTRF"
"RNASEL"
"LOC730329"
"FABP6"
"CHCHD3"
"NSUN6"
"S100A8"
"KIAA0564"
"HOMEZ"
"COL4A1"
"MPP1"
"MXD4"
"MCC"
"LOC283412"
"TUBB"
"DOCK11"
"LILRB3"
"NUDT12"
"ANK3"
"C8orf55"
"LOC646332"
"SLC45A3"
"NUDT1"
"TNFAIP6"
"C10orf99"
"PPFIBP2"
"KATNAL1"
"SELM"
"OBFC1"
"TSPAN4"
"ARSD"
"CRIP1"
"SLC22A5"
"NRM"
"NNMT"
"ALOX5"
"LOC441019"
"TRIM2"
"HSD17B2"
"TWIST1"
"COL5A1"
"RRAGC"
"LOC645626"
"LOC440278"
"MMP23A"
"TIGD6"
"RASSF2"
"DENND2D"
"C17orf44"
"SNX10"
"MT1G"
"RAB3IL1"
"SAC3D1"
"ZAK"
"CCL2"
"TOPBP1"
"CCL8"
"LOC728790"
"HMGB2"
"KPNA4"
"PTCD2"
"RIC3"
"UGT1A1"
"BHLHB3"
"TNC"
"C1orf101"
"PMP22"
"STX2"
"THY1"
"MARK1"
"HAPLN3"
"CLIP3"
"KDELR3"
"LOC653206"
"C10orf73"
"PLAUR"
"SLC14A1"
"FADS1"
"NME5"
"MAP3K5"
"LOC645600"
"SH2D4A"
"EGR2"
"TPST1"
"DPYSL2"
"FYN"
"SOD2"
"DBC1"
"VASN"
"FSTL1"
"C9orf30"
"USP13"
"ADAMTS4"
"NEK6"
"CD33L3"
"ALDH1L2"
"HOXB6"
"DHRS12"
"KRTAP5-7"
"SULF1"
"FARP2"
"LIX1L"
"IFNE1"
"AIG1"
"TNFRSF13C"
"ITGA5"
"IL8RB"
"ACP6"
"IL8"
"MAD2L2"
"HMGCS1"
"PLA2G4C"
"FLJ39653"
