"Gene"
"MFAP4"
"CFD"
"COL16A1"
"DCN"
"ACTG2"
"AEBP1"
"C21orf63"
"MYH11"
"ZNF324B"
"TAGLN"
"ACTA2"
"SERPINF1"
"SLC9A9"
"SRPX"
"SELM"
"PLAC9"
"MED25"
"ALDH1A1"
"SPON1"
"SR-A1"
"OLFML3"
"RBP1"
"FAM107A"
"FOXF1"
"MOXD1"
"OLFM1"
"TGFBI"
"FLNC"
"LUM"
"RAB3IL1"
"DKFZP586H2123"
NA
"PLA2G4C"
"COL6A1"
"STOM"
"COL6A3"
"ADAMTS8"
"SGCE"
"RGL1"
"SLC35E2"
"C1S"
"BIN1"
"ABI3BP"
"FLJ21986"
"ABCA8"
"ROR2"
"MMP23A"
"TCF4"
"SMOC2"
"RARRES2"
"PTRF"
"COL5A1"
"MGC24103"
"SNORD33"
"PMP22"
"EDNRA"
"FAM43A"
"LOC221091"
"LAMC3"
"TSC22D3"
"CNN3"
"MRGPRF"
"CDH11"
"TIMP2"
"MS4A6A"
"CYBRD1"
"CALD1"
"EMILIN1"
"C2orf32"
"ADAMTS1"
"VIM"
"AMICA1"
"PYGO2"
"ATP8B4"
"GLT8D2"
"C9orf19"
"BPNT1"
"CCND2"
"TCEAL2"
"DPYSL2"
"SNORD55"
"CPVL"
"HYMAI"
"PALLD"
"GALNAC4S-6ST"
"GHR"
"SORCS1"
"CLIP3"
"PRICKLE1"
"JAM3"
"ELA2"
"CSF1R"
"ACVRL1"
"ALOX5AP"
"GAS6"
"DENND2A"
"SPARCL1"
"GPR68"
"NR2F1"
"SMARCA4"
"BCL2"
"EMP3"
"ZNF521"
"CRISPLD2"
"TCF21"
"GPR15"
"GYPC"
"PDGFRA"
"OXER1"
"ALKBH4"
"FMNL2"
"TMEM119"
"OXSM"
"TNC"
"RPUSD2"
"TSPAN4"
"ESD"
"RAVER1"
"AFF3"
"PDGFC"
"GNG11"
"STAB1"
"ALG12"
"OLFML1"
"FGL2"
"ITGA8"
"PRKCSH"
"WDR70"
"RPUSD1"
"COX7A1"
"SLC45A3"
"SAMD1"
"TSC22D1"
"COL6A2"
"MGLL"
"RGS1"
"COLEC12"
"SLIT2"
"ANTXR2"
"HSPB6"
"HOM-TES-103"
"ZNF536"
"TPM2"
"SEPP1"
"ALDH2"
"MIF"
"STAT4"
"MAG1"
"AIF1"
"PID1"
"TSHZ3"
"TMEM54"
"C1QA"
"SORCS2"
"GATM"
"LOC650803"
"AXL"
"ACOX2"
"C20orf149"
"MEG3"
"EFNA4"
"HLA-DPA1"
"RNASE6"
"VIPR2"
"SNORD32A"
"PA2G4"
"TMEM180"
"SCARA5"
"ESM1"
"LOC148137"
"RASL12"
"PCGF1"
"FLJ22655"
"CTSK"
"FGF9"
"STX2"
"COMMD6"
"RNASE4"
"STXBP6"
"ADCY5"
"LOC284837"
"CLEC4A"
"ZNF629"
"DKFZP564O0823"
"RNF150"
"LOC652002"
"MRPS26"
"VARS"
"C8orf30A"
"GPR124"
"FNBP1"
"PPP1R16A"
"ALDH1A3"
"CXCL12"
"FUT4"
"PAPPA"
"CTGF"
"TSHZ1"
"TSPAN32"
"FHL1"
"NOC4L"
"HOOK1"
"SLC6A16"
"TYROBP"
"PPP1R14B"
"F13A1"
"EBI2"
"COL1A2"
"ASAM"
"KLF2"
"TGFB3"
"PRRT2"
"LOC648470"
"DLG2"
"LSR"
"DPT"
"BOC"
