"Gene"
"ILMN_1784113|NAT14"
"ILMN_1801616|EMP1"
"ILMN_1829388|"
"ILMN_1825144|"
"ILMN_1911930|"
"ILMN_1904054|"
"ILMN_1664993|GIYD2"
"ILMN_1870947|"
"ILMN_1867255|"
"ILMN_1733927|TCEB2"
"ILMN_1889648|"
"ILMN_1861392|"
"ILMN_1769158|ISOC2"
"ILMN_1866884|"
"ILMN_1758823|SMARCB1"
"ILMN_1910549|"
"ILMN_1722774|VPS72"
"ILMN_1895837|"
"ILMN_1914417|"
"ILMN_1872477|"
"ILMN_1712776|KCNK7"
"ILMN_1871504|"
"ILMN_1876403|"
"ILMN_1775008|NCAPD2"
"ILMN_1687478|C10orf21"
"ILMN_1872414|"
"ILMN_1802758|ZNF281"
"ILMN_1838395|"
"ILMN_1869064|"
"ILMN_1835684|"
"ILMN_1869129|"
"ILMN_1656501|DUSP5"
"ILMN_1703985|C19orf25"
"ILMN_1887790|"
"ILMN_1680192|APOBEC3A"
"ILMN_1843687|"
"ILMN_1821223|"
"ILMN_1746598|SCNM1"
"ILMN_1763975|FLJ44005"
"ILMN_1861265|"
"ILMN_1662161|TBC1D13"
"ILMN_1736415|LOC642144"
"ILMN_1727833|KIF19"
"ILMN_1717481|C16orf78"
"ILMN_1708261|SBK1"
"ILMN_1736179|FAM27L"
"ILMN_1844733|"
"ILMN_1730972|LOC651991"
"ILMN_1716832|LOC197322"
"ILMN_1702202|GLYCAM1"
"ILMN_1913355|"
"ILMN_1880104|"
"ILMN_1878395|"
"ILMN_1844177|"
"ILMN_1672767|AGBL3"
"ILMN_1749114|OTC"
"ILMN_1709731|PRAMEF2"
"ILMN_1828426|"
"ILMN_1797566|C1orf142"
"ILMN_1662880|FIS"
"ILMN_1830008|"
"ILMN_1767811|ZNF416"
"ILMN_1890445|"
"ILMN_1868475|"
"ILMN_1886050|"
"ILMN_1758871|DAB1"
"ILMN_1755369|RAB3A"
"ILMN_1672938|ADCY8"
"ILMN_1805704|LOC643982"
"ILMN_1759390|LOC646697"
"ILMN_1652871|PLSCR5"
"ILMN_1655758|LOC646407"
"ILMN_1800246|FLJ35409"
"ILMN_1866335|"
"ILMN_1856404|"
"ILMN_1774983|IL17A"
"ILMN_1668405|LOC649324"
"ILMN_1803801|LRRC38"
"ILMN_1812702|SIX1"
"ILMN_1916381|"
"ILMN_1697315|GNAT1"
"ILMN_1838858|"
"ILMN_1717994|LOC653193"
"ILMN_1840334|"
"ILMN_1904249|"
"ILMN_1858808|"
"ILMN_1711359|NRN1L"
"ILMN_1906110|"
"ILMN_1842420|"
"ILMN_1754926|SLC45A1"
"ILMN_1723706|DIP"
"ILMN_1819256|"
"ILMN_1896341|"
"ILMN_1909516|"
"ILMN_1913895|"
"ILMN_1815745|SOX4"
"ILMN_1865778|"
"ILMN_1692902|LOC646089"
"ILMN_1811014|PGR"
"ILMN_1656826|SH3RF1"
"ILMN_1666690|ACRC"
"ILMN_1718968|MT1E"
"ILMN_1913697|"
"ILMN_1855793|"
"ILMN_1821360|"
"ILMN_1717733|LOC650566"
"ILMN_1722648|SF3B4"
"ILMN_1776327|LOC727820"
"ILMN_1775831|LOC650921"
"ILMN_1883426|"
"ILMN_1861083|"
"ILMN_1679093|ZNF581"
"ILMN_1729369|FGFR1"
"ILMN_1910185|"
"ILMN_1660280|LOC643158"
"ILMN_1663685|DGCR6"
"ILMN_1705904|C1orf138"
"ILMN_1844522|"
"ILMN_1843621|"
"ILMN_1720319|SLC35A4"
"ILMN_1705676|MRAP"
"ILMN_1726651|LOC339742"
"ILMN_1677085|RGS19"
"ILMN_1861929|"
"ILMN_1901799|"
"ILMN_1911108|"
"ILMN_1791875|LOC442465"
"ILMN_1791396|DGCR6L"
"ILMN_1906460|"
"ILMN_1902921|"
"ILMN_1891506|"
"ILMN_1762787|RNF26"
"ILMN_1871670|"
"ILMN_1728677|CREB5"
"ILMN_1891467|"
"ILMN_1859330|"
"ILMN_1661303|FLJ46309"
"ILMN_1838472|"
"ILMN_1882546|"
"ILMN_1652931|LOC644672"
"ILMN_1657874|LOC643293"
"ILMN_1807407|CENTG2"
"ILMN_1851433|"
"ILMN_1785424|ABLIM1"
"ILMN_1665205|ZNF260"
"ILMN_1734231|DDOST"
"ILMN_1914954|"
"ILMN_1806781|NBPF6"
"ILMN_1735151|EIF5A2"
"ILMN_1854259|"
"ILMN_1662479|LOC643904"
"ILMN_1711910|DKFZp781N1041"
"ILMN_1875692|"
"ILMN_1688452|LCMT1"
"ILMN_1817974|"
"ILMN_1880717|"
"ILMN_1662166|PTK7"
"ILMN_1807937|LOC645427"
"ILMN_1877986|"
"ILMN_1868885|"
"ILMN_1681236|TTC5"
"ILMN_1842943|"
"ILMN_1773346|LOC732107"
"ILMN_1702755|BMP15"
"ILMN_1880924|"
"ILMN_1853190|"
"ILMN_1839923|"
"ILMN_1862545|"
"ILMN_1716264|ANKRD1"
"ILMN_1791980|CUTA"
"ILMN_1733248|NRBP2"
"ILMN_1659085|WFDC12"
"ILMN_1883597|"
"ILMN_1897108|"
"ILMN_1897836|"
"ILMN_1897163|"
"ILMN_1861777|"
"ILMN_1907609|"
"ILMN_1711276|LOC646407"
"ILMN_1839123|"
"ILMN_1727938|ZNF764"
"ILMN_1916662|"
"ILMN_1802252|GAPDH"
"ILMN_1889754|"
"ILMN_1760858|RAB8A"
"ILMN_1655798|PRDM1"
"ILMN_1882991|"
"ILMN_1698938|FOXD4L4"
"ILMN_1847339|"
"ILMN_1898783|"
"ILMN_1796069|CBLN2"
"ILMN_1853682|"
"ILMN_1673604|YIPF3"
"ILMN_1750364|PPP4C"
"ILMN_1883751|"
"ILMN_1765072|KRT85"
"ILMN_1678817|LOC645620"
"ILMN_1682799|STAMBPL1"
"ILMN_1679960|LCE1A"
"ILMN_1661178|NR4A1"
"ILMN_1790411|LOC642579"
"ILMN_1665733|LOC648138"
"ILMN_1860514|"
"ILMN_1892022|"
"ILMN_1832419|"
"ILMN_1830681|"
"ILMN_1850529|"
"ILMN_1810166|SERPINA2"
"ILMN_1653646|UBL7"
"ILMN_1797009|F3"
"ILMN_1728433|LOC648342"
"ILMN_1850475|"
"ILMN_1728117|TITF1"
"ILMN_1907956|"
"ILMN_1839182|"
"ILMN_1765746|SFT2D3"
"ILMN_1783225|OR51F2"
"ILMN_1688655|LOC284293"
"ILMN_1883680|"
"ILMN_1878370|"
"ILMN_1907806|"
"ILMN_1880222|"
"ILMN_1682428|C1orf59"
"ILMN_1913111|"
"ILMN_1667768|LOC729476"
"ILMN_1742018|LOC653820"
"ILMN_1911810|"
"ILMN_1916602|"
"ILMN_1894622|"
"ILMN_1820874|"
"ILMN_1840281|"
"ILMN_1657920|TncRNA"
"ILMN_1773696|RGMB"
"ILMN_1707391|STXBP4"
"ILMN_1825770|"
"ILMN_1804571|ZKSCAN4"
"ILMN_1766245|SUPT4H1"
"ILMN_1676721|NF2"
"ILMN_1863697|"
"ILMN_1870630|"
"ILMN_1788813|RASL10B"
"ILMN_1729617|OLFM3"
"ILMN_1895334|"
"ILMN_1790350|FAM79B"
"ILMN_1878112|"
"ILMN_1717946|DGKE"
"ILMN_1744628|MGC19604"
"ILMN_1907700|"
"ILMN_1800147|LOC650823"
"ILMN_1815571|LOC646146"
"ILMN_1846213|"
"ILMN_1811346|LOC648615"
"ILMN_1834105|"
"ILMN_1756022|HIST1H2AM"
"ILMN_1834396|"
"ILMN_1900185|"
"ILMN_1782246|ASZ1"
"ILMN_1838084|"
"ILMN_1834842|"
"ILMN_1835060|"
"ILMN_1875383|"
"ILMN_1662766|LOC647439"
"ILMN_1703749|OR5T3"
"ILMN_1682795|USP29"
"ILMN_1893925|"
"ILMN_1843233|"
"ILMN_1775367|LOC389904"
"ILMN_1743783|CCDC43"
"ILMN_1845570|"
"ILMN_1773914|POU6F2"
"ILMN_1673983|LOC653411"
"ILMN_1771174|KRTAP10-1"
"ILMN_1863640|"
"ILMN_1762977|LOC441436"
"ILMN_1706410|HUS1B"
"ILMN_1705986|MAFK"
"ILMN_1829887|"
"ILMN_1835272|"
"ILMN_1654895|C9orf14"
"ILMN_1891787|"
"ILMN_1742195|GABRE"
"ILMN_1903423|"
"ILMN_1851431|"
"ILMN_1888614|"
"ILMN_1744126|ING4"
"ILMN_1837687|"
"ILMN_1902600|"
"ILMN_1715231|NR1I2"
"ILMN_1688356|CLEC6A"
"ILMN_1653437|LOC642360"
"ILMN_1854013|"
"ILMN_1891033|"
"ILMN_1687738|LOC650276"
"ILMN_1764410|C22orf13"
"ILMN_1869023|"
"ILMN_1696054|SMYD1"
"ILMN_1731165|SLC16A8"
"ILMN_1859810|"
"ILMN_1904237|"
"ILMN_1781027|TSNARE1"
"ILMN_1800461|CSNK2B"
"ILMN_1755952|LOC650942"
"ILMN_1890421|"
"ILMN_1697236|CNBD1"
"ILMN_1682350|LOC390933"
"ILMN_1698584|KRTAP4-12"
"ILMN_1900297|"
"ILMN_1715125|HAAO"
"ILMN_1877261|"
"ILMN_1700417|SLC22A14"
"ILMN_1895316|"
"ILMN_1706959|TIMM22"
"ILMN_1898104|"
"ILMN_1754132|FLJ45079"
"ILMN_1880216|"
"ILMN_1787440|LOC651638"
"ILMN_1762605|SERPINC1"
"ILMN_1721887|ABT1"
"ILMN_1773814|MUSTN1"
"ILMN_1809543|BDNF"
"ILMN_1808956|C15orf27"
"ILMN_1697218|SURF5"
"ILMN_1869817|"
"ILMN_1746755|ST8SIA6"
"ILMN_1675978|ITGA10"
"ILMN_1851896|"
"ILMN_1662437|BCL3"
"ILMN_1684922|LOC644322"
"ILMN_1835748|"
"ILMN_1876120|"
"ILMN_1900931|"
"ILMN_1757129|TMEM88"
"ILMN_1841233|"
"ILMN_1653035|CHR415SYT"
"ILMN_1888945|"
"ILMN_1812877|ZNF688"
"ILMN_1702797|LOC541469"
"ILMN_1693471|FLJ33790"
"ILMN_1878295|"
"ILMN_1785197|DBX1"
"ILMN_1741131|CHRNB1"
"ILMN_1896266|"
"ILMN_1702198|LOC643790"
"ILMN_1844002|"
"ILMN_1719797|MESDC2"
"ILMN_1811790|FKHL18"
"ILMN_1854308|"
"ILMN_1873188|"
"ILMN_1784985|PRRT3"
"ILMN_1882818|"
"ILMN_1896149|"
"ILMN_1808220|LCE3E"
"ILMN_1877647|"
"ILMN_1780630|LOC390110"
"ILMN_1745580|Tenr"
"ILMN_1670001|LOC732156"
"ILMN_1665007|LOC642155"
"ILMN_1681360|LOC652271"
"ILMN_1838378|"
"ILMN_1675543|PRM1"
"ILMN_1781980|LOC653275"
"ILMN_1834773|"
"ILMN_1867342|"
"ILMN_1900654|"
"ILMN_1687993|HYDIN"
"ILMN_1784608|CLEC2B"
"ILMN_1760143|ADRM1"
"ILMN_1673712|GPR149"
"ILMN_1902640|"
"ILMN_1777278|LOC652101"
"ILMN_1903156|"
"ILMN_1769144|YIPF7"
"ILMN_1768511|KCNG4"
"ILMN_1839599|"
"ILMN_1752452|CST4"
"ILMN_1748626|LOC642214"
"ILMN_1671731|AVPI1"
"ILMN_1823904|"
"ILMN_1663407|SURF1"
"ILMN_1710989|LOC653061"
"ILMN_1856593|"
"ILMN_1824346|"
"ILMN_1711491|SYNPO"
"ILMN_1868629|"
"ILMN_1913140|"
"ILMN_1696767|C13orf21"
"ILMN_1863709|"
"ILMN_1765610|AQP7P2"
"ILMN_1683757|CLDN9"
"ILMN_1867134|"
"ILMN_1744102|LOC650673"
"ILMN_1804895|FLJ39575"
"ILMN_1909142|"
"ILMN_1853450|"
"ILMN_1886378|"
"ILMN_1876107|"
"ILMN_1675165|LOC400708"
"ILMN_1861348|"
"ILMN_1854717|"
"ILMN_1716822|KRTAP9-2"
"ILMN_1801408|GABRA4"
"ILMN_1787085|GLRA3"
"ILMN_1907926|"
"ILMN_1702757|FLJ20464"
"ILMN_1651611|LDLR"
"ILMN_1763587|TNMD"
"ILMN_1844919|"
"ILMN_1682301|OPCML"
"ILMN_1822384|"
"ILMN_1728191|ANP32D"
"ILMN_1854786|"
"ILMN_1722632|FLJ41170"
"ILMN_1891656|"
"ILMN_1849317|"
"ILMN_1827590|"
"ILMN_1715101|LOC648089"
"ILMN_1792305|ZNF318"
"ILMN_1813427|FLJ41327"
"ILMN_1826598|"
"ILMN_1683719|DULLARD"
"ILMN_1756070|INSC"
"ILMN_1860890|"
"ILMN_1824203|"
"ILMN_1792265|TRIM4"
"ILMN_1862279|"
"ILMN_1685982|PDGFA"
"ILMN_1876299|"
"ILMN_1754134|LOC554206"
"ILMN_1860706|"
"ILMN_1793203|SMCR7L"
"ILMN_1837871|"
"ILMN_1675015|MAGEB5"
"ILMN_1899479|"
"ILMN_1667222|MTX1"
"ILMN_1692849|ANKRD58"
"ILMN_1848753|"
"ILMN_1838622|"
"ILMN_1702335|BRD8"
"ILMN_1699015|LOC440926"
"ILMN_1913353|"
"ILMN_1864951|"
"ILMN_1915170|"
"ILMN_1658448|LOC728285"
"ILMN_1724253|NHLH1"
"ILMN_1916640|"
"ILMN_1872769|"
"ILMN_1670442|LOC649578"
"ILMN_1813639|C20orf58"
"ILMN_1790697|LOC652602"
"ILMN_1793919|KCNT2"
"ILMN_1657652|LOC647683"
"ILMN_1895997|"
"ILMN_1765578|TIPARP"
"ILMN_1900914|"
"ILMN_1694268|HES6"
"ILMN_1903537|"
"ILMN_1724109|LOC645291"
"ILMN_1709824|PCDHGB1"
"ILMN_1755677|C14orf122"
"ILMN_1821980|"
"ILMN_1659224|DKFZP686C2281"
"ILMN_1829281|"
"ILMN_1664146|LOC650074"
"ILMN_1823239|"
"ILMN_1908840|"
"ILMN_1915974|"
"ILMN_1758008|ODF3L1"
"ILMN_1893861|"
"ILMN_1892356|"
"ILMN_1793460|LOC642381"
"ILMN_1785404|FGFBP1"
"ILMN_1722974|LOC643718"
"ILMN_1840910|"
"ILMN_1664124|FLJ13224"
"ILMN_1801845|DNAL4"
"ILMN_1797074|EMG1"
"ILMN_1689512|ASAM"
"ILMN_1898059|"
"ILMN_1740166|LOC643449"
"ILMN_1767176|PDE9A"
